# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-a" "/home/mimansa/RNA_PROJECT/whole_genome/Saccharomyces_cerevisiae.R64-1-1.115.gtf" "-o" "/home/mimansa/RNA_PROJECT/results/counts_pPB.txt" "/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam" "/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mimansa/RNA_PROJECT/alignments/SRR30570749.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570750.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570751.sorted.bam	/home/mimansa/RNA_PROJECT/alignments/SRR30570752.sorted.bam
YGL149W	VII	225572	225877	+	306	21	50	14	18
YGL242C	VII	44652	45197	-	546	386	683	351	433
YGR106C	VII	698989	699786	-	798	4869	3976	4319	4536
YGR004W	VII	502938	504326	+	1389	807	660	786	647
YGR209C	VII	912913	913227	-	315	5822	4649	3341	3598
YGR052W	VII	593596	594705	+	1110	112	64	65	63
YGR158C	VII	805269	806021	-	753	737	876	763	847
YGR003W	VII	500132	502366	+	2235	887	1105	998	843
YGR219W	VII	936035	936376	+	342	8	3	3	8
YGL247W	VII	36933	37526	+	594	433	287	354	286
YGR170W	VII	837142	840558	+	3417	1532	2130	1255	1801
YGR246C	VII	982482	984272	-	1791	795	933	655	1002
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	21	22	14	7
YGR160W	VII	807073	807684	+	612	0	0	0	0
YGR204C-A	VII	909061	909174	-	114	9	7	1	12
YGR039W	VII	574888	575199	+	312	136	113	79	85
YGL059W	VII	392223	393698	+	1476	541	612	508	586
YGL123W	VII	277617	278381	+	765	33185	21132	31567	28479
YGL099W	VII	314631	316553	+	1923	2413	2203	2629	2242
YGR102C	VII	694584	695135	-	552	752	645	429	406
YGL233W	VII	59122	61854	+	2733	1340	2029	1332	1856
YGL072C	VII	371003	371362	-	360	1	1	2	1
YGL056C	VII	396035	397618	-	1584	2490	1870	1847	1723
YGR104C	VII	697445	698368	-	924	485	538	415	526
YGR240C	VII	970771	973734	-	2964	33185	29055	32809	33715
YGR243W	VII	977336	977776	+	441	2911	1265	1556	1667
YGR275W	VII	1043276	1043749	+	474	545	463	444	440
YGL088W	VII	345836	346201	+	366	0	3	0	2
YGR020C	VII	526973	527329	-	357	3176	2479	2003	2002
YGR100W	VII	690245	693097	+	2853	2100	2034	1788	2237
YGR231C	VII	952548	953480	-	933	3286	3362	2713	3043
YGR215W	VII	922175	922507	+	333	371	434	222	281
YGR018C	VII	524365	524694	-	330	0	0	0	0
YGL152C	VII	216692	217369	-	678	0	1	0	0
YGL212W	VII	91432	92382	+	951	249	221	200	269
YGL066W	VII	377609	379582	+	1974	514	780	416	611
YGL060W	VII	390065	391990	+	1926	999	914	876	1005
YGL185C	VII	153167	154306	-	1140	693	487	572	561
YGR145W	VII	781767	783890	+	2124	1284	2357	1186	1343
YGL011C	VII	474489	475247	-	759	3308	2578	2602	2781
YGR147C	VII	786054	786920	-	867	2466	1936	2187	1872
YGR036C	VII	558149	558868	-	720	594	416	465	430
YGL122C	VII	278946	280523	-	1578	2589	1839	2154	1827
YGL261C	VII	6290	6652	-	363	10	0	0	7
YGL041C	VII	419022	419225	-	204	0	0	0	0
YGR099W	VII	687899	689965	+	2067	761	792	783	738
YGR046W	VII	584895	586052	+	1158	1030	1406	993	1227
YGL188C-A	VII	148824	148964	-	141	122	104	81	86
YGR216C	VII	922633	924462	-	1830	1032	1065	874	1084
tG(UCC)G	VII	779616	779687	+	72	0	0	0	0
YGR047C	VII	586392	589469	-	3078	1114	1692	1180	1351
YGR238C	VII	966039	968687	-	2649	1139	1106	823	1066
YGR282C	VII	1057783	1058724	-	942	36261	26624	32206	28381
YGL132W	VII	261580	261915	+	336	1	0	0	2
tA(AGC)G	VII	774349	774421	+	73	2	0	0	0
YGR169C	VII	834689	835903	-	1215	634	597	636	636
YGR063C	VII	617516	617824	-	309	78	48	71	36
YGR256W	VII	1004624	1006102	+	1479	120	112	117	75
YGL036W	VII	428601	431330	+	2730	1210	1016	832	1249
YGR192C	VII	882812	883810	-	999	361790	263826	315280	294850
YGL191W	VII	144808	145197	+	390	6240	5217	4021	5009
YGR051C	VII	592906	593229	-	324	32	42	24	29
YGR013W	VII	514554	516416	+	1863	669	934	492	675
YGR123C	VII	736662	738203	-	1542	2478	2795	3127	2461
YGL209W	VII	95858	97006	+	1149	240	243	259	232
YGL163C	VII	193707	196403	-	2697	887	1189	764	924
YGR296C-A	VII	1088870	1089445	-	576	0	0	0	0
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	1193	1455	954	1103
YGL092W	VII	337906	341859	+	3954	4860	6336	5260	5757
YGR132C	VII	755589	756452	-	864	5198	3887	4808	4549
YGL208W	VII	97338	98585	+	1248	1076	683	726	715
tL(GAG)G	VII	700675	700756	+	82	1	1	4	9
YGR059W	VII	607563	609101	+	1539	45	44	44	58
YGR114C	VII	720265	720654	-	390	0	0	0	0
YGR128C	VII	747950	750091	-	2142	1487	2698	1586	1658
YGL246C	VII	37617	38780	-	1164	898	1134	921	855
YGL190C	VII	145809	147389	-	1581	992	1279	962	1312
YGR033C	VII	554248	554967	-	720	1006	1061	929	1120
YGL112C	VII	298178	299728	-	1551	1933	1810	1735	1861
YGL001C	VII	495453	496502	-	1050	2407	1965	1903	1978
YGR168C	VII	833352	834482	-	1131	364	406	336	405
YGL093W	VII	334886	337639	+	2754	1086	1290	927	1149
YGR120C	VII	730033	730821	-	789	642	530	560	516
YGR027C	VII	534132	534458	-	327	29764	23023	21393	18876
YGL259W	VII	8470	8967	+	498	97	32	60	90
YGR294W	VII	1080306	1080668	+	363	7	7	3	13
YGR124W	VII	739944	741662	+	1719	20663	15507	19277	17247
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	383	271	320	259
YGL062W	VII	385196	388732	+	3537	47947	39123	46342	44003
YGR049W	VII	591314	591877	+	564	308	255	142	230
snR39	VII	365163	365251	-	89	273	289	302	242
YGR076C	VII	637104	637577	-	474	932	753	678	689
YGL161C	VII	199210	200142	-	933	2147	1383	1563	1574
YGR062C	VII	616328	617278	-	951	792	472	473	526
tV(AAC)G1	VII	412294	412367	-	74	7	1	12	16
YGL237C	VII	52731	53528	-	798	336	285	247	295
YGR024C	VII	531883	532596	-	714	1256	944	1005	967
YGR184C	VII	859901	865753	-	5853	5482	7827	4987	6759
YGR292W	VII	1076599	1078353	+	1755	2427	1977	1938	1958
YGR151C	VII	794655	794990	-	336	0	0	0	0
YGL034C	VII	433214	433579	-	366	22	15	42	25
YGL067W	VII	376101	377255	+	1155	1755	1374	1333	1282
YGR072W	VII	634304	635467	+	1164	218	420	201	244
YGL229C	VII	64503	66959	-	2457	488	523	374	601
YGR055W	VII	599417	601141	+	1725	13013	11686	10193	11179
YGL044C	VII	416146	417036	-	891	468	666	300	366
YGL054C	VII	400871	401287	-	417	1842	1998	1670	2049
YGL119W	VII	284442	285947	+	1506	844	987	832	752
YGR068W-A	VII	626294	626389	+	96	0	0	0	0
YGR206W	VII	910432	910737	+	306	397	356	190	287
YGR121W-A	VII	733412	733627	+	216	8	7	20	9
YGL130W	VII	266145	267524	+	1380	1321	1246	1079	966
YGL042C	VII	418288	418593	-	306	164	147	157	155
YGR090W	VII	662358	666071	+	3714	3641	5330	3821	4371
YGR221C	VII	937124	938992	-	1869	1493	940	1287	946
YGR143W	VII	775193	777508	+	2316	2141	1776	1819	2146
tR(UCU)G1	VII	405470	405541	+	72	4	2	6	11
YGL218W	VII	83650	84300	+	651	0	2	0	0
YGL198W	VII	123591	124298	+	708	410	307	360	302
YGL083W	VII	353058	355472	+	2415	1045	1038	984	994
tC(GCA)G	VII	707108	707179	-	72	0	0	0	0
YGR071C	VII	631481	634063	-	2583	682	968	516	899
YGR259C	VII	1012481	1012921	-	441	0	0	0	0
YGR058W	VII	606136	607143	+	1008	491	478	518	403
YGL195W	VII	131525	139543	+	8019	30624	28966	31051	33655
YGL192W	VII	142246	144048	+	1803	0	0	0	0
YGL206C	VII	102543	107504	-	4962	23543	27892	20566	25836
YGR060W	VII	610564	611493	+	930	6328	5136	5639	5500
YGL257C	VII	12481	14157	-	1677	1213	1787	1315	1438
YGL236C	VII	53787	55796	-	2010	1283	955	1257	866
YGR138C	VII	763762	765606	-	1845	669	631	702	622
YGR015C	VII	521090	522076	-	987	493	426	320	452
YGL023C	VII	450197	452104	-	1908	1578	1350	1369	1270
YGL144C	VII	232450	234507	-	2058	751	744	697	592
YGL071W	VII	372012	374084	+	2073	1209	896	752	1022
tK(CUU)G3	VII	876394	876466	+	73	0	0	0	0
YGR080W	VII	642010	643008	+	999	1369	1023	937	970
YGL116W	VII	289809	291641	+	1833	1229	1193	964	1212
YGR035C	VII	557072	557422	-	351	195	105	131	97
YGL201C	VII	117854	120907	-	3054	2375	2459	2410	2378
YGR212W	VII	917040	918446	+	1407	400	351	288	394
YGR154C	VII	796798	797868	-	1071	247	240	279	292
YGL241W	VII	45445	48459	+	3015	910	1252	978	1175
YGL262W	VII	5312	5839	+	528	0	2	4	1
YGR247W	VII	984966	985685	+	720	848	528	602	607
YGR199W	VII	897502	899781	+	2280	1288	1356	1413	1490
YGL260W	VII	6860	7090	+	231	2	0	2	4
YGR179C	VII	853675	854895	-	1221	285	322	244	334
YGR011W	VII	512497	512823	+	327	60	63	21	47
YGL111W	VII	299978	301369	+	1392	1313	1892	1559	1479
snR39B	VII	366374	366469	-	96	91	114	90	50
YGR073C	VII	635615	635986	-	372	0	2	1	0
YGR155W	VII	798543	800066	+	1524	22982	21688	22537	20337
YGL114W	VII	293460	295637	+	2178	1812	1552	1636	1589
YGL255W	VII	20978	22108	+	1131	1047	14630	842	676
YGR066C	VII	620921	621799	-	879	146	104	102	124
YGR233C	VII	954674	958210	-	3537	2547	2425	1924	2538
YGR092W	VII	668189	669907	+	1719	1428	1271	1311	1381
YGL041W-A	VII	418825	419289	+	465	61	39	46	62
YGR171C	VII	840824	842551	-	1728	1047	1145	960	1067
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	2	10	7	4
YGL171W	VII	182390	184084	+	1695	1193	1684	1230	1177
YGL029W	VII	440063	440425	+	363	189	415	107	137
YGR040W	VII	575398	576504	+	1107	859	1150	815	963
YGR220C	VII	936074	936883	-	810	1033	949	892	829
YGR268C	VII	1026057	1026653	-	597	546	321	278	269
YGL147C	VII	227754	228329	-	576	29924	21714	26051	24689
tK(CUU)G1	VII	122269	122341	+	73	0	0	3	1
YGR144W	VII	780399	781379	+	981	73	48	95	55
YGR178C	VII	851047	853215	-	2169	6177	5602	5892	6203
YGR113W	VII	718893	719924	+	1032	894	716	736	629
YGL203C	VII	112475	114664	-	2190	1413	1815	1198	1618
YGL048C	VII	410069	411286	-	1218	2898	3196	2817	3012
YGR207C	VII	910843	911628	-	786	1654	1988	1577	1864
YGR258C	VII	1007671	1010766	-	3096	708	1208	665	940
YGL091C	VII	342056	343042	-	987	557	482	595	496
YGR093W	VII	670388	671911	+	1524	823	1083	704	801
YGR119C	VII	728046	729671	-	1626	2115	2818	1761	2232
YGR213C	VII	918512	919465	-	954	152	146	153	131
YGR061C	VII	611889	615965	-	4077	12520	10613	13988	12038
YGL182C	VII	157273	157596	-	324	2	6	3	3
YGR139W	VII	765726	766064	+	339	24	31	18	25
YGR121C	VII	731449	732927	-	1479	805	726	535	559
YGL043W	VII	417483	418412	+	930	1029	1190	1089	1111
YGR280C	VII	1050910	1051725	-	816	384	468	273	269
YGL085W	VII	349616	350440	+	825	539	402	535	465
YGL031C	VII	437467	437934	-	468	27557	21059	23588	22896
YGR117C	VII	725049	726479	-	1431	677	846	737	881
YGR254W	VII	1000927	1002240	+	1314	18611	20462	17440	17433
YGR235C	VII	961360	962061	-	702	2659	2182	2060	2123
YGL124C	VII	274780	276714	-	1935	531	557	485	544
YGR236C	VII	962530	962817	-	288	12	15	5	26
YGL164C	VII	191978	193300	-	1323	189	410	176	251
YGR293C	VII	1079885	1080346	-	462	12	12	34	7
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	1	4	7	2
YGR264C	VII	1019598	1021853	-	2256	8797	8835	10537	9768
YGL234W	VII	56482	58890	+	2409	6943	5568	7217	5875
YGL109W	VII	303513	303836	+	324	8	13	11	12
YGL238W	VII	49552	52434	+	2883	3837	4432	3477	4095
YGL041C-B	VII	418704	418886	-	183	3	2	6	2
YGR056W	VII	601661	604447	+	2787	1234	1412	1145	1238
YGR201C	VII	902520	903197	-	678	458	240	314	304
YGR239C	VII	969187	970053	-	867	532	460	414	410
YGR169C-A	VII	836387	836665	-	279	92	270	85	87
YGR185C	VII	866336	867520	-	1185	9222	7036	7806	7032
YGR189C	VII	876669	878192	-	1524	6067	5834	5832	4947
YGR022C	VII	529257	529586	-	330	0	0	0	0
YGR290W	VII	1075482	1075925	+	444	95	52	69	60
YGL205W	VII	108158	110404	+	2247	1060	1181	651	877
tK(CUU)G2	VII	185714	185786	-	73	1	0	0	1
YGL221C	VII	81426	82292	-	867	1885	1416	1449	1398
YGL108C	VII	303649	304071	-	423	86	86	41	57
YGL069C	VII	375050	375514	-	465	0	2	1	0
YGL135W	VII	254641	255294	+	654	31766	20064	30290	25701
YGR253C	VII	998358	999140	-	783	2589	3021	2520	3057
YGL053W	VII	402589	403302	+	714	755	459	462	412
YGL101W	VII	312193	312840	+	648	1362	1060	957	1057
YGR271C-A	VII	1037800	1038501	-	702	418	594	262	343
YGR267C	VII	1025004	1025735	-	732	2313	2189	2142	2204
YGR234W	VII	959904	961103	+	1200	15144	13504	13982	14625
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	431	587	508	644
YGL141W	VII	238353	241085	+	2733	1139	1146	996	1305
YGL245W	VII	39023	41149	+	2127	23070	19656	24481	23692
YGL007W	VII	483260	483637	+	378	82	72	53	48
YGL005C	VII	489708	490547	-	840	552	797	436	759
YGL215W	VII	87981	89339	+	1359	2805	3154	2115	2373
YGR173W	VII	843854	844960	+	1107	1836	1729	1816	1618
YGL249W	VII	33098	35212	+	2115	14	13	3	20
YGR161W-C	VII	810227	810505	+	279	468	346	306	287
YGR229C	VII	949382	950899	-	1518	1992	2552	1463	1916
YGR070W	VII	627806	631273	+	3468	920	789	666	852
YGR135W	VII	761392	762168	+	777	3159	3277	2632	3026
YGL014C-A	VII	466237	466398	-	162	0	0	0	0
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	31	43	32	57
YGL258W	VII	11110	11730	+	621	33	22	47	32
tT(UGU)G1	VII	661749	661820	+	72	4	1	6	0
YGL139W	VII	245716	248124	+	2409	2394	2356	2370	2384
YGL172W	VII	180700	182118	+	1419	1505	1449	1122	1347
YGR088W	VII	654634	656322	+	1689	549	321	301	332
YGL126W	VII	270997	272139	+	1143	804	587	783	803
YGR140W	VII	767429	770299	+	2871	820	1587	734	926
YGR129W	VII	750400	751047	+	648	200	252	143	209
YGL027C	VII	443642	446143	-	2502	3711	3710	3638	3800
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	8	0	0	2
YGL231C	VII	63048	63620	-	573	1659	1444	1314	1236
YGL019W	VII	458156	458992	+	837	2557	1865	1852	1894
tR(UCU)G3	VII	736340	736411	+	72	14	0	13	3
YGR017W	VII	523787	524680	+	894	632	751	533	682
YGR107W	VII	702667	703116	+	450	21	21	18	13
YGL039W	VII	423961	425007	+	1047	1987	1211	1796	1608
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	0	0	1	0
YGL123C-A	VII	277634	277864	-	231	0	0	0	0
YGL002W	VII	494517	495167	+	651	1088	791	825	934
YGR044C	VII	582990	583892	-	903	1214	1192	1107	993
YGR193C	VII	884509	885741	-	1233	2288	1928	1654	1945
YGL033W	VII;VII;VII	435625;435750;436375	435679;436312;436401	+;+;+	645	49	80	51	36
YGR165W	VII	829116	830153	+	1038	2574	2179	2194	2364
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	24591	17064	17933	15861
YGL128C	VII	269293	270144	-	852	200	149	110	106
YGL063C-A	VII	384502	384651	-	150	0	0	0	0
YGL007C-A	VII	482941	483027	-	87	18	22	15	11
YGL175C	VII	173285	174322	-	1038	222	267	293	269
YGL223C	VII	79112	80365	-	1254	768	682	530	649
YGR190C	VII	880296	880661	-	366	239	195	140	129
YGL004C	VII	490703	491956	-	1254	619	715	512	563
YGL148W	VII	226399	227529	+	1131	9235	6461	8542	7053
YGR281W	VII	1052824	1057257	+	4434	3469	3697	3346	3990
tH(GUG)G2	VII	319781	319852	+	72	0	1	1	1
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	0	0	0	0
YGR078C	VII	639772	640371	-	600	939	729	740	671
YGL133W	VII	257707	261501	+	3795	1159	1996	1183	1441
tV(AAC)G2	VII	823482	823555	+	74	8	6	25	13
YGR295C	VII	1081584	1082729	-	1146	3380	2595	2669	2888
YGR048W	VII	589826	590911	+	1086	1324	1012	1092	1143
YGR065C	VII	618077	619858	-	1782	4278	6511	4143	4879
YGL051W	VII	403687	404391	+	705	286	215	174	171
YGL220W	VII	82374	82736	+	363	1227	870	862	804
YGR019W	VII	525229	526644	+	1416	2104	1559	1397	1471
YGL010W	VII	475545	476069	+	525	480	249	282	224
YGL090W	VII	343319	344584	+	1266	317	383	234	345
YGR054W	VII	596693	598621	+	1929	5371	3883	4759	4530
YGR174W-A	VII	846655	846741	+	87	96	32	17	28
YGL032C	VII	436570	436833	-	264	1082	690	488	535
tE(UUC)G2	VII	401527	401598	-	72	0	0	0	4
YGL179C	VII	163409	165091	-	1683	405	331	292	302
tE(UUC)G3	VII	541850	541921	+	72	0	1	3	2
YGR002C	VII	498476	499906	-	1431	990	903	740	814
YGL134W	VII	255663	256964	+	1302	1107	940	830	864
YGL235W	VII	55279	55815	+	537	4	1	3	2
YGL006W	VII	485921	489442	+	3522	3755	4355	3117	4707
YGR028W	VII	542203	543291	+	1089	1217	1083	1144	1191
YGR283C	VII	1059015	1060040	-	1026	761	991	685	609
YGR249W	VII	988049	989419	+	1371	139	63	106	96
snR82	VII	316788	317055	+	268	4326	2035	3481	3315
snR7-L	VII	939459	939672	-	214	2	4	5	2
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	836	975	634	1065
YGL157W	VII	209006	210049	+	1044	78	49	85	36
YGL118C	VII	288014	288451	-	438	8	8	0	9
YGR012W	VII	513159	514340	+	1182	1142	996	842	859
YGR242W	VII	976415	976723	+	309	60	34	52	35
YGR014W	VII	516943	520863	+	3921	9741	9162	8707	7882
YGR038C-A	VII	566145	567467	-	1323	0	0	0	0
YGR161C-C	VII	821693	823015	-	1323	0	0	0	0
YGR027W-A	VII	536057	537379	+	1323	0	0	0	0
YGR109W-A	VII	707610	708482	+	873	0	0	0	0
YGR027W-B	VII	536057	541325	+	5269	2952	7019	2407	4484
YGR038C-B	VII	562199	567467	-	5269	2148	3625	1745	2625
YGR161C-D	VII	817747	823015	-	5269	181	342	173	268
YGR161W-A	VII	811738	813054	+	1317	0	0	0	0
YGR109W-B	VII	707610	712254	+	4645	181	298	178	129
YGR161W-B	VII	811738	817051	+	5314	15	13	11	11
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	10409	8234	8815	9218
YLL032C	XII	74270	76747	-	2478	715	992	565	661
YLR466W	XII	1067087	1071235	+	4149	335	214	205	277
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	149	87	125	126
YLR437C	XII	1011622	1012023	-	402	582	441	369	416
YLR217W	XII	572909	573232	+	324	4	3	2	0
YLL056C	XII	27409	28305	-	897	253	191	282	243
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	375	288	299	261
YLR279W	XII	704309	704698	+	390	70	53	41	38
YLR075W	XII	282927	283592	+	666	14811	11074	11968	11049
YLR052W	XII	247201	247953	+	753	940	912	640	653
YLR159C-A	XII	485711	485842	-	132	0	0	1	1
YLR025W	XII	194452	195174	+	723	618	752	418	594
YLR049C	XII	243886	245172	-	1287	1021	1081	795	1137
YLR308W	XII	747937	748875	+	939	7	4	15	3
YLR032W	XII	204991	208500	+	3510	770	1013	819	884
ETS2-2	XII	460712	460922	-	211	53	126	47	13
YLR251W	XII	641464	642057	+	594	409	151	308	285
YLR321C	XII	776584	777864	-	1281	628	819	556	604
YLR327C	XII	783127	783387	-	261	8114	5110	3555	5165
YLR154C-H	XII	468827	468958	-	132	0	0	0	0
YLR247C	XII	628684	633354	-	4671	1642	2616	1280	1937
YLR167W	XII	498947	499405	+	459	90900	55589	68444	60473
YLR220W	XII	576825	577793	+	969	1678	1885	1482	1436
YLR455W	XII	1053629	1054543	+	915	924	963	738	1030
YLR282C	XII	705071	705412	-	342	4	1	0	4
YLR094C	XII	327730	329238	-	1509	1661	1448	1464	1345
YLR272C	XII	683672	687202	-	3531	1307	1976	1396	1777
YLR264C-A	XII	673828	673944	-	117	2102	2047	2099	2432
YLR338W	XII	804346	805203	+	858	1	0	0	0
YLR181C	XII	516678	517670	-	993	418	478	333	365
YLR458W	XII	1056455	1056835	+	381	3	3	0	0
YLR180W	XII	515262	516410	+	1149	12950	10550	12950	10513
YLR250W	XII	640317	641021	+	705	2027	1789	1814	1961
YLR222C-A	XII	582006	582236	-	231	33	39	22	27
YLR424W	XII	973395	975521	+	2127	241	556	248	410
YLR253W	XII	642627	644336	+	1710	1956	1757	1762	1780
YLR390W-A	XII	903724	904440	+	717	6094	4200	3904	3576
YLR233C	XII	607425	609524	-	2100	483	714	466	577
YLR347W-A	XII	824789	824929	+	141	0	0	0	0
YLR117C	XII	382471	384534	-	2064	726	1255	719	914
YLR110C	XII	369697	370098	-	402	53759	40494	44776	43692
YLR072W	XII	278862	280943	+	2082	1012	908	850	863
YLR069C	XII	271630	273915	-	2286	3407	3545	3138	3531
YLR403W	XII	925568	927619	+	2052	1543	1476	1447	1515
YLR008C	XII	165577	166083	-	507	1915	1582	1585	1313
YLR231C	XII	605758	607119	-	1362	1535	1029	1012	1016
YLR264W	XII	673131	673334	+	204	2478	2429	2625	3006
YLR164W	XII	493883	494389	+	507	187	126	131	132
YLR079W	XII	286820	287674	+	855	1283	1423	978	1048
YLR103C	XII	343989	345941	-	1953	369	765	358	549
YLR170C	XII	500579	501049	-	471	0	0	0	0
YLR228C	XII	600019	602463	-	2445	1275	1113	1238	1327
YLL036C	XII	66745	68256	-	1512	1257	1214	1200	1136
YLR467C-A	XII	1077050	1077532	-	483	0	0	0	0
YLR198C	XII	547286	547645	-	360	57	76	68	88
snR61	XII	794486	794575	-	90	78	38	33	56
YLR411W	XII	947253	947978	+	726	108	110	119	103
YLR056W	XII	253861	254958	+	1098	9291	7314	8636	7546
YLR429W	XII	990777	992732	+	1956	5151	4342	4826	4688
YLL060C	XII	21138	21839	-	702	147	142	151	126
YLR310C	XII	752224	756993	-	4770	3449	6000	3557	4831
YLR342W	XII	809997	815627	+	5631	70990	65610	72898	72142
YLR017W	XII	177608	178621	+	1014	1650	1220	1375	1343
tL(UAG)L2	XII;XII	732090;732147	732127;732190	+;+	82	0	0	0	0
YLR304C	XII	735212	737548	-	2337	59183	54806	53993	57509
YLL052C	XII	35912	36361	-	450	71	60	48	60
YLR027C	XII	196829	198085	-	1257	11148	8618	9079	8910
YLR214W	XII	568567	570627	+	2061	691	1226	712	674
ITS2-2	XII	464319	464550	-	232	7	3	8	6
YLL062C	XII	16639	17613	-	975	960	964	790	685
YLR378C	XII	875736	877178	-	1443	2853	1841	2953	2721
YLR023C	XII	185498	187129	-	1632	5011	4903	4671	4724
YLR425W	XII	982894	986817	+	3924	828	1108	773	1107
YLR073C	XII	281019	281621	-	603	559	615	402	341
YLL008W	XII	131729	133987	+	2259	1921	3147	2400	2478
YLL063C	XII	14648	16072	-	1425	236	203	179	222
YLR449W	XII	1030834	1032012	+	1179	2271	2444	2298	2238
YLL046C	XII	46714	47463	-	750	0	6	1	0
YLR089C	XII	318237	320015	-	1779	3350	2514	3103	3046
RDN18-1	XII	455933	457732	-	1800	0	0	0	0
YLR020C	XII	181789	183405	-	1617	956	1181	977	1091
YLR190W	XII	535214	536689	+	1476	1956	1961	1506	1818
YLR045C	XII	235037	237703	-	2667	1857	2310	1567	2077
YLR285W	XII	707360	708145	+	786	738	809	671	696
YLR322W	XII	777628	777942	+	315	0	2	0	4
YLR276C	XII	695046	696830	-	1785	2063	3400	1980	2326
YLR346C	XII	822287	822592	-	306	86	60	42	24
YLR156W	XII	472113	472457	+	345	1	1	1	0
YLR135W	XII	413281	415527	+	2247	408	617	344	493
YLR261C	XII	668237	668563	-	327	2	2	6	2
YLL066C	XII;XII	6120;9550	9450;9836	-;-	3618	358	439	463	383
YLR077W	XII	283872	285623	+	1752	1392	1433	1216	1335
YLR144C	XII	429677	432016	-	2340	956	929	1116	987
YLR414C	XII	953353	954144	-	792	2479	2361	1945	1929
YLR030W	XII	203290	204081	+	792	156	128	115	120
YLR301W	XII	730825	731559	+	735	3243	2504	3188	3035
YLR252W	XII	641957	642262	+	306	169	83	121	104
YLR427W	XII	988428	990440	+	2013	1343	1251	1202	1225
YLR200W	XII	549012	549356	+	345	421	622	274	380
YLR150W	XII	440467	441288	+	822	32322	23343	30118	28458
YLL021W	XII	100947	105347	+	4401	2633	4034	2401	2947
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	676	511	558	561
YLR153C	XII	445524	447575	-	2052	17945	14542	17082	15929
YLR404W	XII	928743	929600	+	858	612	496	429	447
YLR014C	XII	172268	174982	-	2715	579	906	657	613
YLL005C	XII	137940	140546	-	2607	444	621	361	574
tQ(UUG)L	XII	448650	448721	-	72	2	0	2	0
YLR262C	XII	668244	668891	-	648	362	399	325	315
YLR296W	XII	722978	723304	+	327	21	37	29	26
YLR234W	XII	609783	611753	+	1971	493	425	425	374
YLR096W	XII	332590	336033	+	3444	2154	2457	2053	2033
YLR271W	XII	682737	683561	+	825	119	224	98	117
YLR033W	XII	208761	210269	+	1509	873	1332	808	1016
YLR278C	XII	699999	704024	-	4026	1784	1899	1464	1679
YLL055W	XII	30109	31704	+	1596	522	446	488	531
YLR266C	XII	675619	677724	-	2106	1040	1070	948	1167
YLL030C	XII	80356	80697	-	342	0	4	1	0
YLR323C	XII	778173	778952	-	780	284	327	206	231
YLR007W	XII	164392	165402	+	1011	813	721	593	583
YLR406C-A	XII	932206	932355	-	150	11	3	4	9
YLL015W	XII	116432	121111	+	4680	2413	3067	2542	3133
YLR343W	XII	816094	817761	+	1668	1545	1511	1218	1351
YLR269C	XII	680866	681216	-	351	5	9	9	5
tN(GUU)L	XII	975983	976056	-	74	0	0	0	0
YLR210W	XII	562008	563390	+	1383	461	528	441	517
YLR058C	XII	257992	259401	-	1410	8569	6264	7722	7053
YLR145W	XII	432168	432773	+	606	106	188	88	105
YLR080W	XII	287916	289250	+	1335	131	176	85	119
YLR443W	XII	1022625	1023971	+	1347	678	582	612	583
YLR325C	XII	781143	781379	-	237	25292	15781	21102	19426
YLL006W	XII	136586	137866	+	1281	754	659	593	701
YLR074C	XII	281956	282456	-	501	1341	1496	1137	990
RDN5-5	XII	485697	485815	+	119	0	0	0	0
YLR311C	XII	757265	757612	-	348	77	47	59	51
YLR191W	XII	537272	538432	+	1161	661	638	574	562
YLR235C	XII	611532	611930	-	399	0	0	0	0
YLR364C-A	XII	855523	855645	-	123	0	0	0	0
ITS2-1	XII	455182	455413	-	232	14	28	30	71
YLR288C	XII	713480	714904	-	1425	415	386	452	381
YLL001W	XII	147890	150163	+	2274	3991	3624	3445	4103
